pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,method,subset,path,image_index,has_target,step,split,held_out_subset,seed
0.01,17.423410147430896,0.9069767441860465,0.010001068816514741,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,0,train,simMed,7
0.0001,824.7263339213495,0.27906976744186046,0.00010688165147420336,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,0,train,simMed,7
0.001,360.5462845293918,0.5813953488372093,0.001007741285328203,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,0,train,simMed,7
0.01,137.319303553013,0.7906976744186046,0.010001068816514741,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,0,train,simMed,7
0.0001,3108.055553349863,,0.0001068115234375,0,65536,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.001,1486.4778069517024,,0.001007080078125,0,65536,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.01,439.5823928829982,,0.010009765625,0,65536,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.0001,17.795507963494604,,0.0001068115234375,0,65536,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.001,9.293279755482185,,0.001007080078125,0,65536,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.01,4.616816438495471,,0.010009765625,0,65536,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.0001,392.1397577970562,,0.0001068115234375,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.001,199.1686630096022,,0.001007080078125,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.01,64.44878988752774,,0.010009765625,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,train,simMed,7
0.0001,7458.75823650836,0.09302325581395349,0.00010688165147420336,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
0.001,3601.5911821606123,0.23255813953488372,0.001007741285328203,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
0.01,1286.4468520244625,0.46511627906976744,0.010001068816514741,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
0.0001,394.8569895316387,0.23255813953488372,0.00010688165147420336,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
0.001,70.78746984367328,0.7674418604651163,0.001007741285328203,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
0.01,13.508083448682289,0.9534883720930233,0.010001068816514741,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
0.0001,909.128070600256,0.2558139534883721,0.00010688165147420336,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
0.001,447.94749634495014,0.5813953488372093,0.001007741285328203,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,test,simMed,7
