calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,tpsscs_false_alarms_total,background_count_total,pfa_ceiling,tpsscs_pfa_calibrated,raw_pfa_calibrated,lowrank_pfa_calibrated,beats_raw,beats_lowrank
cross_asset_target_free_conservative,1000.0,65536.0,combined,3e-05,210,0.41846706759468344,0.06353575246875087,0.41846706759468344,0.35493131512593257,0.0,0.0005251444269687086,9.961161586477536e-06,0.0005251444269687086,7222,13754674,3.16e-05,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,combined,0.0001,210,0.41846706759468344,0.06353575246875087,0.41846706759468344,0.35493131512593257,0.0,0.0005251444269687086,9.961161586477536e-06,0.0005251444269687086,7222,13754674,0.00010510000000000001,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,combined,0.0003,210,0.41846706759468344,0.06353575246875087,0.41846706759468344,0.35493131512593257,0.0,0.0005251444269687086,9.961161586477536e-06,0.0005251444269687086,7222,13754674,0.00031509999999999996,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,combined,0.001,210,0.42205691892953273,0.0656630799637862,0.42205691892953273,0.3563938389657465,0.0,0.0005350332784699751,1.0979082111795175e-05,0.0005350332784699751,7358,13754674,0.0010501000000000002,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,combined,0.003,210,0.4546006982513275,0.08240637261303958,0.4546006982513275,0.3721943256382879,0.0,0.0006263615948425524,1.606880909289988e-05,0.0006263615948425524,8614,13754674,0.0031501,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,combined,0.01,210,0.513331233955522,0.12220554283184845,0.513331233955522,0.39112569112367357,0.0,0.0008391188176972804,4.544282647510391e-05,0.0008391188176972804,11540,13754674,0.0105001,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simMed_test.mat,1e-05,105,0.382876722927808,0.07447260513022674,0.382876722927808,0.30840411779758126,0.0,0.0004559209719533609,1.410569662319166e-05,0.0004559209719533609,3135,6877337,1.0600000000000002e-05,False,False,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simMed_test.mat,3e-05,105,0.382876722927808,0.07447260513022674,0.382876722927808,0.30840411779758126,0.0,0.0004559209719533609,1.410569662319166e-05,0.0004559209719533609,3135,6877337,3.16e-05,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simMed_test.mat,0.0001,105,0.382876722927808,0.07447260513022674,0.382876722927808,0.30840411779758126,0.0,0.0004559209719533609,1.410569662319166e-05,0.0004559209719533609,3135,6877337,0.00010510000000000001,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simMed_test.mat,0.0003,105,0.382876722927808,0.07447260513022674,0.382876722927808,0.30840411779758126,0.0,0.0004559209719533609,1.410569662319166e-05,0.0004559209719533609,3135,6877337,0.00031509999999999996,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simMed_test.mat,0.001,105,0.384244731368935,0.07833043472347202,0.384244731368935,0.305914296645463,0.0,0.0004592657611111655,1.614153767382694e-05,0.0004592657611111655,3158,6877337,0.0010501000000000002,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simMed_test.mat,0.003,105,0.42597086160014863,0.08800732803513589,0.42597086160014863,0.33796353356501274,0.0,0.0005673178858308256,2.0940416872995162e-05,0.0005673178858308256,3901,6877337,0.0031501,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simMed_test.mat,0.01,105,0.48910183717549605,0.13754819506410546,0.48910183717549605,0.3515536421113906,0.0,0.0007757120073590253,6.514651216398344e-05,0.0007757120073590253,5334,6877337,0.0105001,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simWind_test.mat,1e-05,105,0.4540574122615589,0.052598899807274994,0.4540574122615589,0.4014585124542839,0.0,0.0005943678819840563,5.816626549763409e-06,0.0005943678819840563,4087,6877337,1.0600000000000002e-05,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simWind_test.mat,3e-05,105,0.4540574122615589,0.052598899807274994,0.4540574122615589,0.4014585124542839,0.0,0.0005943678819840563,5.816626549763409e-06,0.0005943678819840563,4087,6877337,3.16e-05,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simWind_test.mat,0.0001,105,0.4540574122615589,0.052598899807274994,0.4540574122615589,0.4014585124542839,0.0,0.0005943678819840563,5.816626549763409e-06,0.0005943678819840563,4087,6877337,0.00010510000000000001,False,True,False,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simWind_test.mat,0.0003,105,0.4540574122615589,0.052598899807274994,0.4540574122615589,0.4014585124542839,0.0,0.0005943678819840563,5.816626549763409e-06,0.0005943678819840563,4087,6877337,0.00031509999999999996,False,True,False,True,False
